,display_text_width,favorite_count,retweet_count,followers_count,friends_count,polarity,subjectivity,time
8886,114,31,5,6573.0,2041.0,0.0333333333333333,0.3333333333333333,9642
8887,107,0,0,126.0,166.0,0.4928571428571428,0.5678571428571428,9638
8888,33,3,2,1147.0,990.0,0.0,0.0,9636
8889,105,0,0,5228.0,4468.0,0.0,0.0,9634
8890,27,0,0,503.0,72.0,0.0,0.0,9633
8891,45,0,0,125.0,326.0,0.4333333333333333,0.8333333333333334,9633
8892,59,0,0,8.0,448.0,0.0,0.0,9632
8893,108,1,0,18.0,17.0,0.1,0.1,9627
8894,17,5,0,171.0,236.0,0.0,0.0,9625
8895,53,11,4,340.0,344.0,0.0,0.0,9625
8896,278,19,1,4404.0,1207.0,0.0317460317460317,0.3373015873015872,9624
8897,75,0,0,12110.0,10728.0,0.4181818181818181,0.5272727272727273,5797
8898,120,1,1,93.0,186.0,0.1785714285714285,0.2857142857142857,9618
8899,100,1,0,200.0,506.0,0.2299999999999999,0.3199999999999999,9616
8900,101,0,0,826.0,990.0,0.7166666666666667,1.0,9614
8901,27,0,0,519.0,468.0,-0.5,1.0,9613
8902,159,0,0,531.0,392.0,0.1278409090909091,0.4323863636363636,9612
8903,135,0,0,784.0,417.0,-0.0083333333333333,0.2333333333333333,8741
8904,114,2,0,567.0,323.0,0.1363636363636363,0.4545454545454545,9612
8905,116,0,0,3.0,58.0,0.55,0.75,9608
8906,125,1,0,15.0,48.0,0.4227272727272727,0.8090909090909091,4985
8907,76,1,1,1089.0,1385.0,-0.0714285714285714,0.2142857142857142,9607
8908,22,0,0,236.0,636.0,0.0,0.0,9605
8909,82,0,0,47.0,86.0,0.0,0.0,9604
8910,157,0,0,166.0,118.0,-0.2,0.6,9598
8911,44,0,0,12295.0,11182.0,0.0,0.0,9598
8912,63,1,0,287.0,744.0,0.675,0.75,9591
8913,283,2,0,313.0,528.0,0.6055555555555555,0.6333333333333334,9584
8914,29,0,0,2294.0,825.0,0.0,0.0,9582
8915,34,1,0,2179.0,1556.0,0.7,0.6000000000000001,9580
8916,105,0,0,325.0,462.0,-0.0208333333333333,0.4375,9580
8917,58,0,1,5255.0,2720.0,0.0,0.0,2875
8918,87,0,0,46.0,56.0,0.45,0.8,9578
8919,57,0,0,142.0,1692.0,0.3416666666666667,0.5833333333333334,3791
8920,41,2,0,5394.0,1413.0,0.0,0.0,3503
8921,55,2,1,19163.0,1390.0,0.0,0.0,2277
8922,100,1,0,86.0,221.0,-0.1468749999999999,0.5333333333333333,4008
8923,93,0,0,420.0,191.0,0.3385416666666667,0.4166666666666667,2766
8924,56,4,0,253.0,574.0,0.0,0.0,9571
8925,109,0,0,23.0,145.0,0.1041666666666666,0.3166666666666666,9571
8926,54,0,0,1068.0,1051.0,0.0,0.0,9566
8927,228,19,1,918.0,4999.0,0.1206349206349206,0.565873015873016,9566
8928,100,0,0,208.0,272.0,0.0,0.4,9565
8929,72,1,0,172.0,217.0,0.8375,0.8,9560
8930,19,0,0,2.0,4.0,0.125,1.0,9558
8931,44,22,10,1234.0,941.0,0.0,0.0,9556
8932,86,4,0,831.0,304.0,-0.5,1.0,9555
8933,96,1,0,1168.0,866.0,0.0,0.0,9555
8934,72,1,0,658.0,554.0,-0.075,0.8,9553
8935,40,3,2,384.0,546.0,-0.6,0.8,9553
8936,118,1,0,11.0,42.0,0.4,0.4,9552
8937,126,1,1,1104.0,969.0,0.0,0.0,9550
8938,95,0,0,314.0,1417.0,0.1875,0.25,9549
8939,76,0,0,183.0,204.0,0.4333333333333333,0.8333333333333334,9545
8940,89,1,0,188.0,108.0,0.0,0.0,9541
8941,19,0,0,910.0,553.0,0.0,0.0,9539
8942,70,1,0,131.0,337.0,0.0,0.0,9533
8943,24,0,0,608.0,1071.0,0.0,0.0,9533
8944,21,6805,813,265.0,282.0,0.0,0.0,9529
8945,54,2,0,935.0,1072.0,0.0,0.0,9523
8946,150,0,0,340.0,597.0,0.0166666666666666,0.25,9517
8947,43,3,0,5.0,78.0,0.4333333333333333,0.8333333333333334,9516
8948,157,0,0,156.0,519.0,0.0,0.3333333333333333,9513
8949,84,2,0,69.0,420.0,0.0,0.0,9512
8950,126,1,0,1485.0,946.0,0.0,0.0,7894
8951,49,1,0,31.0,123.0,0.3,1.0,9511
8952,82,1,1,191.0,344.0,0.5,0.6,9509
8953,189,0,0,197.0,72.0,0.2666666666666666,0.3333333333333333,9507
8954,109,1,0,204.0,258.0,0.2613636363636363,0.3636363636363636,9506
8955,68,0,0,598.0,358.0,0.25,0.3125,9501
8956,101,0,0,2871.0,204.0,0.4333333333333333,0.8333333333333334,9500
8957,31,7,0,186.0,79.0,0.0,0.0,9499
8958,89,1,0,97.0,87.0,0.3565656565656566,0.6292929292929293,9498
8959,50,0,0,177.0,283.0,0.0,0.0,9498
8960,26,3,0,183.0,536.0,0.0,0.0,9498
8961,26,0,0,1404.0,1269.0,0.0,0.0,9494
8962,36,2,0,1142.0,584.0,0.0,0.0,9492
